target_gw,rows,mae,rmse,mean_actual,mean_predicted
2,627,0.47138079168442865,0.9319392984414697,1.3668261562998405,1.3931971609280893
3,648,0.5256991160031501,1.0460955455834253,1.1404320987654322,1.1834381800801375
4,659,0.6637898374521234,1.3418469979237344,1.235204855842185,1.0674454412463963
5,661,0.5905283743749756,1.1846592102717242,1.2118003025718609,1.0546404067195219
6,664,0.660879410703166,1.4254181703711954,1.141566265060241,1.1105494088775099
7,666,0.6907253387938819,1.3913909216227554,1.3108108108108107,1.1928433101393923
8,667,0.6272534644546179,1.2262162288353815,1.1649175412293853,1.1808833266788885
9,670,0.6358690573825446,1.2340925613230056,1.1507462686567165,1.1275377838612126
10,674,0.6271832269861608,1.207256647098102,1.1498516320474776,1.1177911264085796
11,678,0.5886759332237584,1.2077022805299453,1.2005899705014749,1.1677642965531934
12,684,0.6865386721730534,1.4153869402721757,1.2280701754385965,1.1778531964820083
13,690,0.6449330641756094,1.4338696159766733,1.2,1.0634688636753014
14,693,0.7247014051094863,1.508766212606507,1.2481962481962483,1.14765071291808
15,630,0.6217577728246156,1.2695788094709828,1.126984126984127,1.064489567982148
16,701,0.6857589737712428,1.4213948588762992,1.1683309557774608,1.0626239417223482
17,701,0.8813582154170201,1.8561292903744506,1.3124108416547788,1.077606859863336
18,705,0.7857119666267646,1.5082063052710732,1.2354609929078013,1.1035862524348237
19,709,0.7635006614892158,1.5408308781200344,1.1763046544428772,1.0630021073080735
20,711,0.7007477310587227,1.4364122409602262,1.080168776371308,1.0148317417186221
21,724,0.7162858345437163,1.4805167533889119,1.1215469613259668,1.036931756196826
22,729,1.0092144510409664,2.3760040235305637,1.1673525377229081,0.4751654287214636
23,756,0.7065314145433423,1.6985912640856484,1.220899470899471,1.001896034114597
24,762,0.8524340521891506,1.859153436251617,1.4081364829396326,1.4754275684954707
25,779,0.8603017197111508,1.9440011765621845,1.3453145057766367,1.4165199153671035
26,783,0.7519704555629185,1.675729648825023,1.2707535121328224,1.0362954158577236
27,784,0.6615586837433328,1.445461942517239,1.219387755102041,1.0562379649435232
28,789,0.6151511951740833,1.278290862503699,1.167300380228137,1.0242497965530422
29,639,0.6176758864717885,1.360384783804258,1.1486697965571204,0.9811923328210942
30,791,0.6374210736255569,1.314483955668883,1.1580278128950696,1.0912062664719977
31,792,0.6379918246338238,1.387133322229434,1.1931818181818181,1.123215852681284
32,798,1.1063175754792227,2.7463466809652037,1.3270676691729324,0.5057089301157222
33,799,0.9760399953694527,2.115190219175183,1.3979974968710889,1.7942138049081133
34,645,0.9720817299812644,2.3453137315897497,1.1906976744186046,0.46255399324277013
35,801,0.6696947479252643,1.3768762112299382,1.1023720349563046,0.9789476838475322
36,801,0.6958418588348517,1.463165374081698,1.2247191011235956,1.024602391260521
37,801,0.6404168033891873,1.4064527643526343,1.184769038701623,1.0413402134131848
38,804,0.7149770866983833,1.595900079607817,1.212686567164179,1.0584072171164831
