fpl_id,fpl_name,understat_name,understat_id,normalized_name
388.0,Harry Kane,Harry Kane,647,harry kane
254.0,Mohamed Salah,Mohamed Salah,1250,mohamed salah
,,Bruno Fernandes,1228,bruno fernandes
,,Son Heung-Min,453,son heungmin
202.0,Patrick Bamford,Patrick Bamford,822,patrick bamford
164.0,Dominic Calvert-Lewin,Dominic Calvert-Lewin,5555,dominic calvertlewin
224.0,Jamie Vardy,Jamie Vardy,755,jamie vardy
514.0,Ollie Watkins,Ollie Watkins,8865,ollie watkins
271.0,Ilkay Gündogan,Ilkay Gündogan,314,ilkay gundogan
6.0,Alexandre Lacazette,Alexandre Lacazette,3277,alexandre lacazette
506.0,Callum Wilson,Callum Wilson,468,callum wilson
233.0,Kelechi Iheanacho,Kelechi Iheanacho,620,kelechi iheanacho
366.0,Danny Ings,Danny Ings,986,danny ings
91.0,Chris Wood,Chris Wood,4456,chris wood
141.0,Wilfried Zaha,Wilfried Zaha,522,wilfried zaha
306.0,Marcus Rashford,Marcus Rashford,556,marcus rashford
251.0,Sadio Mané,Sadio Mané,838,sadio mane
543.0,Gareth Bale,Gareth Bale,2251,gareth bale
481.0,Matheus Pereira,Matheus Pereira,7153,matheus pereira
4.0,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,318,pierreemerick aubameyang
437.0,Michail Antonio,Michail Antonio,531,michail antonio
132.0,Christian Benteke,Christian Benteke,606,christian benteke
276.0,Raheem Sterling,Raheem Sterling,618,raheem sterling
569.0,Edinson Cavani,Edinson Cavani,3294,edinson cavani
45.0,Anwar El Ghazi,Anwar El Ghazi,5612,anwar el ghazi
18.0,Nicolas Pépé,Nicolas Pepe,5656,nicolas pepe
449.0,Tomas Soucek,Tomas Soucek,8288,tomas soucek
249.0,Roberto Firmino,Roberto Firmino,482,roberto firmino
301.0,Jesse Lingard,Jesse Lingard,558,jesse lingard
275.0,Riyad Mahrez,Riyad Mahrez,750,riyad mahrez
,,Gabriel Jesus,5543,gabriel jesus
284.0,Phil Foden,Phil Foden,6055,phil foden
235.0,Harvey Barnes,Harvey Barnes,6681,harvey barnes
468.0,Diogo Jota,Diogo Jota,6854,diogo jota
377.0,Che Adams,Che Adams,7700,che adams
370.0,James Ward-Prowse,James Ward-Prowse,843,james wardprowse
445.0,Jarrod Bowen,Jarrod Bowen,1776,jarrod bowen
68.0,Neal Maupay,Neal Maupay,3621,neal maupay
,,Joe Willock,6630,joe willock
231.0,James Maddison,James Maddison,6818,james maddison
344.0,David McGoldrick,David McGoldrick,7711,david mcgoldrick
200.0,Stuart Dallas,Stuart Dallas,8718,stuart dallas
203.0,Jack Harrison,Jack Harrison,8720,jack harrison
540.0,Bertrand Traoré,Bertrand Traoré,695,bertrand traore
,,Jorginho,1389,jorginho
,,Rodrigo,2381,rodrigo
