player_id,first_name,second_name,name,position,team,price,status,news,chance_of_playing_next_round,selected_by_percent,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,influence,creativity,threat,ict_index,bps,bonus,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_gw1,goals_gw1,assists_gw1,clean_sheets_gw1,bonus_gw1,bps_gw1,total_points_gw1,started_gw1,played_gw1,availability,availability_multiplier,xmins,start_probability,rotation_risk,reliable_starter
1,David,Raya Martín,Raya,GKP,Arsenal,6.0,a,,,38.2,6.0,6.0,6,90,0,0,1,0.0,0.0,11.8,0.0,0.0,1.2,24,0,89219,66120,89219,66120,90.0,0.0,0.0,1.0,0.0,24.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,GKP,Arsenal,5.0,a,,,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,285,1160,285,1160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
3,Illan,Meslier,Meslier,GKP,Arsenal,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,91,419,91,419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
4,Gabriel,dos Santos Magalhães,Gabriel,DEF,Arsenal,8.0,a,,,29.2,5.0,5.0,5,90,0,0,1,0.05,0.01,6.6,1.8,1.0,0.9,21,0,50840,100629,50840,100629,90.0,0.0,0.0,1.0,0.0,21.0,5.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
5,Jurriën,Timber,J.Timber,DEF,Arsenal,6.5,i,Groin injury - Unknown return date,0.0,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,359,2745,359,2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
6,William,Saliba,Saliba,DEF,Arsenal,6.0,i,Back injury - Unknown return date,0.0,0.3,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,778,6156,778,6156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
7,Myles,Lewis-Skelly,Lewis-Skelly,MID,Arsenal,5.5,a,,,0.7,3.0,3.0,3,90,0,0,1,0.06,0.11,11.0,22.9,7.0,4.1,15,0,8208,7517,8208,7517,90.0,0.0,0.0,1.0,0.0,15.0,3.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
8,Riccardo,Calafiori,Calafiori,DEF,Arsenal,5.6,a,,,41.5,9.0,9.0,9,80,0,1,1,0.04,0.09,26.0,12.2,4.0,4.2,31,0,273394,33483,273394,33483,80.0,0.0,1.0,1.0,0.0,31.0,9.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
9,Piero,Hincapié,Hincapie,DEF,Arsenal,5.5,a,,,1.5,1.0,1.0,1,9,0,0,0,0.0,0.0,0.4,0.5,0.0,0.1,3,0,3446,35233,3446,35233,9.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
10,Benjamin,White,White,DEF,Arsenal,5.5,a,,100.0,6.4,11.0,11.0,11,90,0,1,1,0.18,0.21,33.2,26.8,13.0,7.3,37,2,117654,19354,117654,19354,90.0,0.0,1.0,1.0,2.0,37.0,11.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
11,Cristhian,Mosquera,Mosquera,DEF,Arsenal,5.5,a,,,5.8,6.0,6.0,6,90,0,0,1,0.0,0.0,14.4,0.6,0.0,1.5,27,0,13443,34971,13443,34971,90.0,0.0,0.0,1.0,0.0,27.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
12,Bukayo,Saka,Saka,MID,Arsenal,9.5,a,,,10.4,9.0,9.0,9,67,1,0,1,0.64,0.08,42.8,26.1,33.0,10.2,36,1,75267,26968,75267,26968,67.0,1.0,0.0,1.0,1.0,36.0,9.0,1,1,AVAILABLE,1.0,75.0,0.8333333333333334,MEDIUM,1
13,Declan,Rice,Rice,MID,Arsenal,7.5,a,,,17.1,3.0,3.0,3,67,0,0,1,0.07,0.08,6.8,6.4,2.0,1.5,10,0,31413,128006,31413,128006,67.0,0.0,0.0,1.0,0.0,10.0,3.0,1,1,AVAILABLE,1.0,75.0,0.8333333333333334,MEDIUM,1
